name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Ashe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ashe.png,SUPPORT,+0.84,iron,13.7,ph,31.12,393,0.036000000000000004,0.1986,0.45289999999999997,0.0308,C,1.94
Azir,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Azir.png,MID,+29.04,iron,13.7,ph,42.11,214,0.020099999999999996,0.8168000000000001,0.47200000000000003,0.0034999999999999996,B,1.74
Ashe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ashe.png,ADC,-17.49,iron,13.7,ph,53.28,1483,0.1131,0.7494,0.4828,0.0308,A,2.18
Aphelios,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Aphelios.png,ADC,+3.81,iron,13.7,ph,21.76,567,0.0492,0.9087000000000001,0.4586,0.018000000000000002,D,1.76
Annie,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Annie.png,SUPPORT,-10.43,iron,13.7,ph,68.59,124,0.0087,0.2988,0.5403,0.0304,S,2.06
Amumu,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Amumu.png,JUNGLE,-8.49,iron,13.7,ph,55.43,348,0.0259,0.6203,0.48560000000000003,0.0147,A,2.35
Anivia,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Anivia.png,MID,+5.33,iron,13.7,ph,54.11,90,0.009399999999999999,0.6667000000000001,0.4889,0.0095,A,2.84
Annie,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Annie.png,MID,+1.16,iron,13.7,ph,63.34,261,0.0258,0.6289,0.5364,0.0304,A,2.27
Amumu,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Amumu.png,SUPPORT,+20.01,iron,13.7,ph,64.85,184,0.0149,0.32799999999999996,0.5326,0.0147,S,1.93
Akshan,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akshan.png,TOP,,iron,13.7,ph,22.12,45,0.0039000000000000003,0.14150000000000001,0.42219999999999996,0.0213,C,1.55
Alistar,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Alistar.png,SUPPORT,+11.48,iron,13.7,ph,51.46,209,0.0231,0.8819,0.4976,0.009300000000000001,B,2.15
Akshan,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akshan.png,ADC,-31.18,iron,13.7,ph,25.74,98,0.0068000000000000005,0.30820000000000003,0.4796,0.0213,C,1.79
Akshan,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akshan.png,MID,-9.78,iron,13.7,ph,43.35,146,0.0128,0.45909999999999995,0.47950000000000004,0.0213,B,1.69
Draven,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Draven.png,ADC,+9.84,platinum,13.7,ph,35.78,1981,0.0394,0.9659,0.5097999999999999,0.0616,C,2.23
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/DrMundo.png,TOP,-1.56,platinum,13.7,ph,45.23,1022,0.0222,0.7997,0.5097999999999999,0.0195,B,1.96
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/DrMundo.png,JUNGLE,+1.81,platinum,13.7,ph,52.49,200,0.0033,0.1565,0.57,0.0195,A,2.93
Diana,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Diana.png,MID,-0.50,platinum,13.7,ph,42.63,680,0.013600000000000001,0.2641,0.4971,0.0123,B,2.08
Diana,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Diana.png,JUNGLE,-0.74,platinum,13.7,ph,50.21,1837,0.0381,0.7134,0.5161,0.0123,A,2.39
Corki,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Corki.png,MID,-9.16,platinum,13.7,ph,35.72,410,0.0083,0.9193000000000001,0.4537,0.0019,C,2.17
Cassiopeia,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Cassiopeia.png,MID,-2.10,platinum,13.7,ph,49.21,805,0.017,0.861,0.5304,0.0177,A,2.35
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Chogath.png,TOP,-3.45,platinum,13.7,ph,56.19,1872,0.038599999999999995,0.6779999999999999,0.5207999999999999,0.0217,A,2.23
Camille,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Camille.png,TOP,+1.08,platinum,13.7,ph,50.3,1760,0.0344,0.9422,0.5068,0.0173,A,1.99
Caitlyn,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Caitlyn.png,ADC,-7.22,platinum,13.7,ph,81.45,8308,0.17350000000000002,0.9643,0.4961,0.105,S+,2.29
Brand,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Brand.png,MID,-4.11,platinum,13.7,ph,35.52,211,0.005,0.18789999999999998,0.4645,0.009300000000000001,C,1.88
Braum,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Braum.png,SUPPORT,+7.15,platinum,13.7,ph,52.23,956,0.0227,0.9754999999999999,0.5397,0.0068000000000000005,A,2.82
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Chogath.png,MID,-6.46,platinum,13.7,ph,43.04,421,0.0074,0.1525,0.5012,0.0217,B,2.3
Darius,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Darius.png,TOP,-8.04,platinum,13.7,ph,73.12,3388,0.0725,0.9139,0.5077,0.16949999999999998,S+,1.89
Brand,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Brand.png,SUPPORT,-6.07,platinum,13.7,ph,38.85,824,0.0184,0.7337,0.4951,0.009300000000000001,C,1.87
Blitzcrank,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Blitzcrank.png,SUPPORT,+9.45,platinum,13.7,ph,63.59,2772,0.0678,0.9412999999999999,0.5296,0.1566,S,2.47
Bel'Veth,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Belveth.png,JUNGLE,+2.96,platinum,13.7,ph,47.38,1605,0.0317,0.9458,0.5121,0.042199999999999994,B,2.31
Azir,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Azir.png,MID,+6.73,platinum,13.7,ph,39.12,1323,0.0286,0.9477,0.4558,0.0046,C,2.03
Bard,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Bard.png,SUPPORT,-8.29,platinum,13.7,ph,40.45,776,0.0175,0.9604,0.48450000000000004,0.0027,C,2.85
Aurelion Sol,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/AurelionSol.png,MID,-7.01,platinum,13.7,ph,67.49,3495,0.0689,0.9064,0.5345,0.35009999999999997,S+,2.78
Ashe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ashe.png,SUPPORT,-0.41,platinum,13.7,ph,40.69,1764,0.0404,0.2847,0.4677,0.038900000000000004,C,2.15
Aphelios,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Aphelios.png,ADC,+10.72,platinum,13.7,ph,39.98,3739,0.0708,0.9811,0.4926,0.0115,C,2.04
Ashe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ashe.png,ADC,+2.90,platinum,13.7,ph,58.36,4281,0.09570000000000001,0.6908,0.5211,0.038900000000000004,S,2.47
Annie,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Annie.png,SUPPORT,-6.25,platinum,13.7,ph,46.29,826,0.0163,0.3264,0.5218,0.0663,B,2.54
Annie,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Annie.png,MID,-3.74,platinum,13.7,ph,56.42,1638,0.0354,0.6472,0.5458,0.0663,A,2.66
Anivia,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Anivia.png,SUPPORT,,platinum,13.7,ph,34.45,161,0.003,0.1376,0.48450000000000004,0.0178,D,2.28
Anivia,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Anivia.png,MID,-9.22,platinum,13.7,ph,47.38,967,0.0183,0.8265,0.5005,0.0178,B,2.89
Amumu,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Amumu.png,JUNGLE,+5.35,platinum,13.7,ph,47.05,896,0.0203,0.6934999999999999,0.5167,0.012,B,2.82
Amumu,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Amumu.png,SUPPORT,-9.78,platinum,13.7,ph,35.36,375,0.0096,0.2902,0.4853,0.012,C,2.04
Alistar,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Alistar.png,SUPPORT,+5.29,platinum,13.7,ph,47.5,1544,0.0347,0.8583,0.5065,0.015300000000000001,B,2.43
Akshan,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akshan.png,MID,-2.64,platinum,13.7,ph,44.91,849,0.0179,0.5387,0.5029,0.024700000000000003,B,2.23
Akali,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akali.png,TOP,-3.58,platinum,13.7,ph,36.67,1055,0.0229,0.2918,0.45880000000000004,0.0873,C,1.96
Akshan,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akshan.png,TOP,+2.74,platinum,13.7,ph,42.12,586,0.0116,0.3718,0.5154,0.024700000000000003,B,2.08
Akali,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akali.png,MID,-1.95,platinum,13.7,ph,48.17,2536,0.058600000000000006,0.7015,0.46649999999999997,0.0873,A,2.3
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Aatrox.png,TOP,+7.19,iron,13.7,ph,44.76,549,0.046900000000000004,0.8619,0.46630000000000005,0.1036,B,1.62
Akali,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akali.png,TOP,+14.68,iron,13.7,ph,50.26,299,0.0248,0.1912,0.4816,0.1604,B,1.8
Ahri,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ahri.png,MID,-13.89,iron,13.7,ph,54.34,887,0.0742,0.8645,0.4961,0.0435,A,2.18
Ahri,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ahri.png,MID,+3.00,platinum,13.7,ph,64.27,4812,0.0965,0.9561,0.5206000000000001,0.047599999999999996,S,2.69
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Aatrox.png,TOP,-8.33,platinum,13.7,ph,61.4,3132,0.0621,0.925,0.493,0.08779999999999999,S,1.82
Akali,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Akali.png,MID,+2.64,iron,13.7,ph,48.19,1176,0.09119999999999999,0.7519,0.4719,0.1604,B,2.01
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,SUPPORT,-2.38,gold,13.7,ph,34.72,337,0.0046,0.11939999999999999,0.48369999999999996,0.015300000000000001,D,2.13
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,MID,+2.66,gold,13.7,ph,46.37,2436,0.0318,0.8629000000000001,0.4885,0.015300000000000001,B,2.49
Zyra,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zyra.png,SUPPORT,-0.50,gold,13.7,ph,51.1,2832,0.035,0.9309999999999999,0.5282,0.021400000000000002,A,2.18
